sample_id,monomer_or_pff,o2_status,Injection date,DOB,DOD,batch
159,PFF,normoxia,4/7/2022,12/7/2021,7/7/2022,1
160,PFF,normoxia,4/7/2022,12/7/2021,7/7/2022,1
161,PFF,normoxia,4/7/2022,12/7/2021,7/7/2022,1
162,PFF,normoxia,4/7/2022,12/7/2021,7/7/2022,1
163,PFF,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
164,PFF,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
165,PFF,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
166,PFF,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
167,monomer,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
170,monomer,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
171,monomer,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
172,monomer,hypoxia,4/7/2022,12/7/2021,7/7/2022,1
173,monomer,normoxia,4/7/2022,12/7/2021,7/7/2022,1
174,monomer,normoxia,4/7/2022,12/7/2021,7/7/2022,1
175,monomer,normoxia,4/7/2022,12/7/2021,7/7/2022,1
177,monomer,normoxia,4/7/2022,12/7/2021,7/7/2022,1
178,PFF,normoxia,4/14/2022,12/14/2021,7/13/2022,2
179,PFF,normoxia,4/14/2022,12/14/2021,7/13/2022,2
180,PFF,normoxia,4/14/2022,12/14/2021,7/13/2022,2
181,PFF,normoxia,4/14/2022,12/14/2021,7/13/2022,2
182,PFF,hypoxia,4/14/2022,12/14/2021,7/13/2022,2
183,PFF,hypoxia,4/14/2022,12/14/2021,7/13/2022,2
184,PFF,hypoxia,4/14/2022,12/14/2021,7/13/2022,2
185,PFF,hypoxia,4/14/2022,12/14/2021,7/13/2022,2
186,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
187,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
188,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
189,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
190,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
191,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
192,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
193,monomer,normoxia,4/14/2022,12/14/2021,7/13/2022,2
201,PFF,normoxia,4/21/2022,12/21/2021,7/21/2022,3
202,PFF,normoxia,4/21/2022,12/21/2021,7/21/2022,3
203,PFF,normoxia,4/21/2022,12/21/2021,7/21/2022,3
204,PFF,normoxia,4/21/2022,12/21/2021,7/21/2022,3
205,PFF,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
206,PFF,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
207,PFF,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
208,PFF,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
210,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
211,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
212,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
213,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
214,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
215,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
217,monomer,hypoxia,4/21/2022,12/21/2021,7/28/2022,3
218,monomer,hypoxia,4/21/2022,12/21/2021,7/21/2022,3
