gene_id,gene_name,gene_type,gene_name_type
ENSMUSG00000101796.1,Gm29277,lncRNA,Gm*
ENSMUSG00000101492.1,Gm29089,lncRNA,Gm*
ENSMUSG00000101036.1,Gm28588,lncRNA,Gm*
ENSMUSG00000101107.1,Gm28587,lncRNA,Gm*
ENSMUSG00000099876.1,Gm29650,lncRNA,Gm*
ENSMUSG00000102053.1,Gm4064,protein_coding,Gm*
ENSMUSG00000095852.7,Gm10256,protein_coding,Gm*
ENSMUSG00000091987.8,Gm10352,protein_coding,Gm*
ENSMUSG00000101667.1,Gm29289,protein_coding,Gm*
ENSMUSG00000091028.1,Gm10722,protein_coding,Gm*
ENSMUSG00000096385.7,Gm11168,protein_coding,Gm*
ENSMUSG00000116384.1,Gm35912,lncRNA,Gm*
ENSMUSG00000096519.1,Gm10721,protein_coding,Gm*
ENSMUSG00000074564.3,Gm10720,protein_coding,Gm*
ENSMUSG00000095547.1,Gm10719,protein_coding,Gm*
ENSMUSG00000095186.1,Gm10718,protein_coding,Gm*
ENSMUSG00000095891.7,Gm10717,protein_coding,Gm*
ENSMUSG00000090487.8,Gm2888,protein_coding,Gm*
ENSMUSG00000096736.1,Gm17535,protein_coding,Gm*
ENSMUSG00000096201.1,Gm10715,protein_coding,Gm*
ENSMUSG00000079410.4,Gm2897,protein_coding,Gm*
ENSMUSG00000113784.1,Gm46400,lncRNA,Gm*
ENSMUSG00000115013.1,Gm49231,lncRNA,Gm*
ENSMUSG00000071613.11,Gm10340,protein_coding,Gm*
ENSMUSG00000087111.1,Gm11399,lncRNA,Gm*
ENSMUSG00000091849.7,Gm17188,lncRNA,Gm*
ENSMUSG00000079409.8,Gm5795,protein_coding,Gm*
ENSMUSG00000086049.1,Gm12735,lncRNA,Gm*
ENSMUSG00000116858.1,Gm49797,lncRNA,Gm*
ENSMUSG00000110491.1,Gm31138,lncRNA,Gm*
ENSMUSG00000086065.1,Gm16180,lncRNA,Gm*
ENSMUSG00000106658.1,Gm36548,lncRNA,Gm*
ENSMUSG00000116874.1,Gm34035,lncRNA,Gm*
ENSMUSG00000113271.1,Gm40653,lncRNA,Gm*
ENSMUSG00000106779.1,Gm8579,lncRNA,Gm*
ENSMUSG00000093918.7,Gm21677,protein_coding,Gm*
ENSMUSG00000053263.3,Gm12592,lncRNA,Gm*
ENSMUSG00000084941.1,Gm11944,lncRNA,Gm*
ENSMUSG00000112968.1,Gm48530,lncRNA,Gm*
ENSMUSG00000094511.7,Gm21693,protein_coding,Gm*
ENSMUSG00000096574.7,Gm2956,protein_coding,Gm*
ENSMUSG00000106734.3,Gm20559,lncRNA,Gm*
ENSMUSG00000097746.2,Gm6225,lncRNA,Gm*
ENSMUSG00000097429.1,Gm26520,lncRNA,Gm*
ENSMUSG00000116389.1,Gm49504,lncRNA,Gm*
ENSMUSG00000103786.1,Gm37525,lncRNA,Gm*
ENSMUSG00000087055.1,Gm11948,lncRNA,Gm*
ENSMUSG00000093987.7,Gm21704,protein_coding,Gm*
ENSMUSG00000112308.1,Gm48512,lncRNA,Gm*
ENSMUSG00000107815.1,Gm44257,lncRNA,Gm*
ENSMUSG00000107862.1,Gm44151,lncRNA,Gm*
ENSMUSG00000095533.7,Gm10413,protein_coding,Gm*
ENSMUSG00000095948.7,Gm21708,protein_coding,Gm*
ENSMUSG00000096488.1,Gm10409,protein_coding,Gm*
ENSMUSG00000095195.7,Gm3005,protein_coding,Gm*
ENSMUSG00000115871.1,Gm49507,lncRNA,Gm*
ENSMUSG00000072739.4,Gm10408,protein_coding,Gm*
ENSMUSG00000107985.1,Gm35037,lncRNA,Gm*
ENSMUSG00000089699.1,Gm1992,lncRNA,Gm*
ENSMUSG00000116455.1,Gm35974,lncRNA,Gm*
ENSMUSG00000085043.1,Gm13184,lncRNA,Gm*
ENSMUSG00000106588.1,Gm17590,lncRNA,Gm*
ENSMUSG00000114315.1,Gm48696,lncRNA,Gm*
ENSMUSG00000105534.1,Gm42435,lncRNA,Gm*
ENSMUSG00000051396.15,Gm45902,protein_coding,Gm*
ENSMUSG00000114302.1,Gm48683,lncRNA,Gm*
ENSMUSG00000087291.1,Gm11946,lncRNA,Gm*
ENSMUSG00000084962.1,Gm11947,lncRNA,Gm*
ENSMUSG00000105656.1,Gm43017,lncRNA,Gm*
ENSMUSG00000108644.1,Gm44920,lncRNA,Gm*
ENSMUSG00000105130.1,Gm43825,lncRNA,Gm*
ENSMUSG00000085039.2,Gm15927,lncRNA,Gm*
ENSMUSG00000095368.7,Gm3012,protein_coding,Gm*
ENSMUSG00000102331.1,Gm19938,lncRNA,Gm*
ENSMUSG00000079402.9,Gm3020,protein_coding,Gm*
ENSMUSG00000086032.1,Gm15929,lncRNA,Gm*
ENSMUSG00000109277.1,Gm39121,lncRNA,Gm*
ENSMUSG00000108888.1,Gm45231,lncRNA,Gm*
ENSMUSG00000090364.1,Gm3043,protein_coding,Gm*
ENSMUSG00000118249.1,Gm36608,lncRNA,Gm*
ENSMUSG00000089956.1,Gm16553,lncRNA,Gm*
ENSMUSG00000117739.1,Gm36787,lncRNA,Gm*
ENSMUSG00000117773.1,Gm50375,lncRNA,Gm*
ENSMUSG00000085205.1,Gm13185,lncRNA,Gm*
ENSMUSG00000113759.1,Gm47695,lncRNA,Gm*
ENSMUSG00000113259.1,Gm35190,lncRNA,Gm*
ENSMUSG00000115961.1,Gm41409,lncRNA,Gm*
ENSMUSG00000096520.7,Gm3376,protein_coding,Gm*
ENSMUSG00000082848.1,Gm16066,lncRNA,Gm*
ENSMUSG00000096793.7,Gm3002,protein_coding,Gm*
ENSMUSG00000074419.11,Gm15448,protein_coding,Gm*
ENSMUSG00000097127.7,Gm26886,lncRNA,Gm*
ENSMUSG00000114091.1,Gm40655,lncRNA,Gm*
ENSMUSG00000093887.8,Gm3033,protein_coding,Gm*
ENSMUSG00000085656.1,Gm13180,lncRNA,Gm*
ENSMUSG00000117912.1,Gm50383,lncRNA,Gm*
ENSMUSG00000096218.2,Gm2916,protein_coding,Gm*
ENSMUSG00000074417.9,Gm14548,protein_coding,Gm*
ENSMUSG00000093575.1,Gm20695,protein_coding,Gm*
ENSMUSG00000102343.1,Gm37381,lncRNA,Gm*
ENSMUSG00000086445.1,Gm13191,lncRNA,Gm*
ENSMUSG00000085048.1,Gm15537,lncRNA,Gm*
ENSMUSG00000108593.1,Gm44581,lncRNA,Gm*
ENSMUSG00000096901.7,Gm3029,protein_coding,Gm*
ENSMUSG00000091756.1,Gm3095,protein_coding,Gm*
