ProteinID,GeneSymbol,Description,Peptides,normoxia_mono_1,normoxia_mono_2,normoxia_mono_3,normoxia_mono_4,normoxia_PFF_1,normoxia_PFF_2,normoxia_PFF_3,normoxia_PFF_4,hypoxia_mono_1,hypoxia_mono_2,hypoxia_mono_3,hypoxia_mono_4,hypoxia_PFF_1,hypoxia_PFF_2,hypoxia_PFF_3,hypoxia_PFF_4,
P52480-2,Pkm,Isoform M1 of Pyruvate kinase PKM,52,13397.1,15033.8,15082.2,13905.8,14342.6,14181.8,16009.2,14462.3,13597.3,14979.3,14093.2,14476.2,14401.3,14374.1,10409.2,14950.2,
P62814,Atp6v1b2,"V-type proton ATPase subunit B, brain isoform",52,12389,13216.8,13089.6,12775.5,13217.1,13033.7,13329.1,12735.5,12369.8,12576.4,13115.5,12733.7,12933.8,12663.5,10090.2,13405.6,
Q02053,Uba1,Ubiquitin-like modifier-activating enzyme 1,50,17452,17929.4,17077.4,17062.4,17809,17943.7,17315.5,16938.8,15882.8,16892.1,16828,16115.6,16759.3,17043.3,13105.9,16937.1,
P68369,Tuba1a,Tubulin alpha-1A chain,45,15953.7,15629.6,14548.7,14927.9,15452.4,15433.8,14369,13824.1,13833.5,14273.2,15114.8,13344.6,14761.4,14744.9,8379.74,14190.5,
P02088,Hbb-b1,Hemoglobin subunit beta-1,44,7966.89,8476.08,9521.08,11679,9199.57,7897.93,9509.57,15231.3,19869.7,27909.5,20028.4,30447.3,15399.1,16189.9,38032.1,25463.1,
E9PZ16,Hspg2,Basement membrane-specific heparan sulfate proteoglycan core protein,42,4337.24,3798.64,4378.21,4945.66,4322.2,4000.23,4218.8,6903.31,6454.39,7693.49,5216.03,4831.52,4187.7,5737.19,18929,4355.66,
P16858,Gapdh,Glyceraldehyde-3-phosphate dehydrogenase,42,10418.2,11685,10994.6,10948.4,10850.9,10977.7,11606.5,10725.7,11476.9,11582.3,11133.5,10853.4,11258.7,11434,7833.82,10666.6,
P62880,Gnb2,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2,41,14366,16007.5,15042.6,14235.6,15444.8,14852.5,15286.5,14948.8,14504.1,14282.2,15139.8,13880.5,14897.4,14623.4,9374.83,14482.8,
Q9DBG3-2,Ap2b1,Isoform 2 of AP-2 complex subunit beta,40,15542.2,16080,15834.8,15117.5,16467.4,16131.7,16452.4,15821.6,14834.4,15589.2,15775.3,16185.1,15571.8,15735.7,12728.2,17153.1,
Q91VB8,Hba-a1,Alpha globin 1,40,8076.7,7803.12,7966.67,10857.1,7592.74,6855.3,8675.77,13826.3,18048.2,24614.7,16367.1,27692.7,12652.8,13166,36553.7,24477.8,
Q3UGX2,Sptb,Spectrin beta chain,40,10071.9,7623.32,7624.65,8931.76,8658.69,8764.79,7396.36,8351.9,10397.6,10819.5,10185.6,11924.8,8990.12,8973.5,20785.5,9380.58,
O88737,Bsn,Protein bassoon,39,4360.02,6095.03,6792.61,5159,5674.9,5644.2,7289.43,6040.89,5622.33,6354.9,6525.57,7214.07,5963.1,6193.79,4237.63,7189.3,
P09411,Pgk1,Phosphoglycerate kinase 1,39,9930.48,10381,9937.09,10227.2,9851.82,9494.61,9992.76,9884.63,10263.4,10057.7,9622.43,9664.9,10754.3,10473.2,8598.48,9664.39,
Q8C8R3-4,Ank2,Isoform 4 of Ankyrin-2,39,9808.45,10859.5,10881.5,10026.1,10733.6,10846.1,11421.1,10052.1,9714.46,10249.4,10641.3,10818,10372.7,10857.6,6893.28,11333.8,
A0A1L1SQ51,Tln2,Talin-2,38,9262.35,9773.38,10037.1,9412.91,9902.11,9579.96,10351,9604.29,9941.56,10048.2,10393.4,10507.1,9687.31,9981.97,12504.5,10772.6,
P97427,Crmp1,Dihydropyrimidinase-related protein 1,37,12858,13677.2,11715.2,12313.8,12872.9,12610.5,12241.6,11787.9,12430.5,12179.6,12314.9,11375,12592.4,12924.8,7200.19,12014.5,
P68404-2,Prkcb,Isoform Beta-II of Protein kinase C beta type,37,11221.1,15276.4,15199.5,12168.1,12317.3,12240.4,17616.7,12596.5,12259,14610.6,13641.2,15953.2,11984.7,13939.8,3643.42,14777.9,
P48962,Slc25a4,ADP/ATP translocase 1,36,13328.9,13235.1,12996.2,12640.1,13177.4,14383,13434.6,13298.7,12810.2,12547,12453.4,13300.3,12762.6,12881.8,13879,13615.2,
Q60597-3,Ogdh,"Isoform 3 of 2-oxoglutarate dehydrogenase, mitochondrial",36,7920.48,7451.93,7622.26,7156.91,7746.64,8017.8,7765.93,7373.57,7067.22,7081.8,7024.24,7443.01,7173.08,6999.66,7331.21,7554.72,
Q7TMM9,Tubb2a,Tubulin beta-2A chain,36,10493,9676.07,8963.12,9566.51,9917.13,10015.6,9462.68,8460,9183.21,9055.51,9708.2,8164.9,9561.29,9415.46,6259.33,8975.23,
Q5SQX6,Cyfip2,Cytoplasmic FMR1-interacting protein 2,36,8124.45,9918.13,10160.8,8736.92,9071.2,9290.1,10878.6,9529.28,8846.03,10522.6,9893.91,11860.3,9237.91,9963.54,5474.03,11643.5,
P46096,Syt1,Synaptotagmin-1,36,8641.19,11895.9,12239.8,9704.58,11209,12312.8,15206.2,11986.9,10625.9,13108.7,11177.5,14759.3,10442.1,11922.6,9946.03,13583.3,
P47857-3,Pfkm,"Isoform 3 of ATP-dependent 6-phosphofructokinase, muscle type",35,8860.87,10327.1,9881.88,9320.77,9679.82,9397.12,10623.5,9833.34,9161.44,9658.64,9251.91,9980.39,8942.26,9716.64,6299.37,9695.64,
P11798,Camk2a,Calcium/calmodulin-dependent protein kinase type II subunit alpha,35,8144.24,10475.7,10829.1,8914.63,8733.36,8484.72,11734.6,8359.39,8409.55,10801,10333.6,10294.9,9237.42,10062.9,3809.06,10833.1,
P62737,Acta2,"Actin, aortic smooth muscle",35,6803.28,7398.7,7431.35,7201.88,7043.51,7050.44,8506.82,9052.67,6865.08,9864.88,7325.87,7447.66,6765.36,7675.12,11195.2,7454.34,
Q8BX70-2,Vps13c,Isoform 2 of Vacuolar protein sorting-associated protein 13C,34,5088.86,5338.25,5361.34,5224.93,5462.62,5725.67,5645.52,5280.96,4806.02,5415.25,5407.74,5932.52,5170.38,5243.58,5069.16,6180.72,
E9Q447,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",34,9304.64,10087.7,9273.54,8577.49,9450.65,8624.81,10277.5,8349.27,9724.85,8779.27,9713.56,7723.37,9652.04,9497.21,6060.58,8832.52,
Q9QYX7,Pclo,Protein piccolo,33,5718.81,7695.73,8816.26,6873.23,7404.52,7490.7,9331.46,7458.33,7197.68,7986.75,7928.22,8815.92,7585.14,7896.09,5437.46,9665.23,
Q9WV92-8,Epb41l3,Isoform 8 of Band 4.1-like protein 3,33,10436.3,9654.25,9065.04,9720.68,9956.54,9066.58,8439.26,8612.22,9349.86,8421.98,9088.74,8327.49,9941.31,8971.23,7271.65,8378.84,
Q91V12-4,Acot7,Isoform D of Cytosolic acyl coenzyme A thioester hydrolase,33,9741.07,8582.72,8647.83,9336.43,9411.51,9586.3,8582.93,8497.51,8339.27,8320.96,9022.96,8181.75,9004.52,8551.57,6107.62,8508.83,
A0A0A6YY91,Ncam1,Neural cell adhesion molecule 1 (Fragment),33,9491.97,8839.75,8016.45,8797.77,9788.69,10063.3,8055.88,7913.84,8475.96,7986.97,8840.85,7098.41,8490.63,8236.7,8694.64,8274.92,
E9Q1G8,Septin7,Septin,33,9806.47,10819.9,10814.7,10360.5,10366.5,10151.1,12288,10429.5,9570.27,10729.2,10698,10456.7,10536.2,10917.1,6885.46,10963.5,
Q11011,Npepps,Puromycin-sensitive aminopeptidase,33,9703.84,10666.4,10617.5,9803.25,10151.9,10036.6,10707.8,9745.4,9085.22,10053.6,10315.1,10470.9,10357.4,10026.2,6638.14,10191.8,
Q64521,Gpd2,"Glycerol-3-phosphate dehydrogenase, mitochondrial",33,7305.05,7800.1,8231.13,7456.34,7776.57,7859.92,8240.97,7771.84,6367.92,6973.91,7165.46,7335.62,7038.59,7129.9,6639.96,7576.32,
P63017,Hspa8,Heat shock cognate 71 kDa protein,33,8050.91,8041.22,8188.16,8233.14,8125.17,7827.12,7689.64,7340.7,7464.6,7748.06,7607.8,7397.36,8449.84,7781.55,6493.73,7669.12,
O54991,Cntnap1,Contactin-associated protein 1,33,6492.71,6400.54,6057.44,6143.08,6318.57,6070.03,5998.2,5638.61,6302.12,5521.5,6428.47,5766.08,6160.76,5970.3,3949.89,5861.82,
P50396,Gdi1,Rab GDP dissociation inhibitor alpha,33,9011.52,9308.1,8762.33,8781.04,9253.85,8974.64,9201.71,8887.67,8563.31,8717.83,8828.93,8607.11,8223.59,8874.92,6199.26,8496.92,
P48036,Anxa5,Annexin A5,32,9637.34,11197.3,11342.1,10677.2,10929.2,10052.8,11638.6,12780,9886.61,11185.6,10296.5,10260.8,10780.8,11004,11675.4,9684.7,
Q8VDN2,Atp1a1,Sodium/potassium-transporting ATPase subunit alpha-1,32,8470.58,8697.29,8425.16,8385.37,8392.21,8165.4,8796.03,7966.05,7746.84,8547.25,8737.97,8232.38,8700.07,8524.6,5651.52,8435.17,
Q6PIC6,Atp1a3,Sodium/potassium-transporting ATPase subunit alpha-3,32,7968.25,7866.08,6864.17,7379.55,7581.8,7535.75,6724.96,6963.34,6753.5,6686.41,7603.79,6601.42,7847.13,7344.04,5369.01,7499.25,
O08599-2,Stxbp1,Isoform 2 of Syntaxin-binding protein 1,32,8511.43,9247.98,9699.35,8846.06,8975.47,9059.05,10104.9,8959.81,8970.6,9536.94,9476.39,10754.2,8953.31,9354.15,6334.77,10576.2,
P08113,Hsp90b1,Endoplasmin,32,11417.7,10335.1,10083.1,10776.7,10690.9,10756.3,9414.94,10410.7,11640.7,9673.55,10328.6,9655.97,10945.5,10913.3,11711.2,10463.1,
Q99KI0,Aco2,"Aconitate hydratase, mitochondrial",32,6934.57,7509.83,7121.11,6484.23,6664.95,7133.44,6954.67,6841.7,7113,6559.95,7065.67,7224.52,7457.31,7063.86,6507.08,7454.67,
P68372,Tubb4b,Tubulin beta-4B chain,32,8489.31,8578.8,7771.73,7903.25,8250.94,7928.65,7791.65,7307.49,7116.82,7385.83,7688.86,6558.84,7954.32,7841.32,4644.85,7383.98,
P18872,Gnao1,Guanine nucleotide-binding protein G(o) subunit alpha,32,7669.15,9253.1,9389.57,7961.23,9047.83,8925.9,9816.63,8860.6,8447.69,9313.3,9035.82,9199.48,8499.26,8894.06,5778.63,9325.37,
P60202,Plp1,Myelin proteolipid protein,32,7796.26,7732.12,6906.6,7136.69,7311.03,6733.49,7416.7,5963.78,5176.42,6476.79,6963.15,4300.28,7176.76,6921.31,2081.92,5392.85,
P14873,Map1b,Microtubule-associated protein 1B,31,9245.11,8933.61,8178.18,8566.18,8770.34,8822.68,7980.84,7161.39,7985.02,7560.41,8192.91,6439.21,8704.77,8247.45,6451.31,7493.57,
P62259,Ywhae,14-3-3 protein epsilon,31,7681.91,8474.61,8652.15,7780.23,8491.59,8189.58,8854.52,8168.24,7896.29,8229.17,8024.38,8478.47,8133.93,8412.33,6154.12,8287.9,
P63101,Ywhaz,14-3-3 protein zeta/delta,31,11082.2,15193.8,15572.4,12670.1,13354.1,12775.4,18063.7,14058.2,13020.1,14675.2,14244.4,15106.7,13169.8,14272.2,7058.7,14771.5,
Q80X90,Flnb,Filamin-B,31,5497.1,6224.12,6340.56,6470.08,5951.21,5653.32,6700.24,8646.12,7011.8,10035.9,7511.15,7051.43,7210.34,7824.92,19208.8,6589.08,
Q6ZPJ3,Ube2o,(E3-independent) E2 ubiquitin-conjugating enzyme UBE2O,31,10063.8,9690.89,9444.26,9851.38,10021.7,9810.76,9701.48,9111.44,9148.54,9137.61,9771.02,9360.51,9355.66,9330.74,7026.86,9236.78,
Q8K0U4,Hspa12a,Heat shock 70 kDa protein 12A,31,9619.22,9547.99,9159.47,9194.51,9313.03,8954.82,9177.66,8679.61,8938.11,8964.99,9225.18,8784.08,9351.81,9305.27,5763.47,9094.89,
P46460,Nsf,Vesicle-fusing ATPase,31,8806.64,8858.33,8666.15,8413.84,9293.3,8822.69,9272.15,8477.62,8355.06,8488.56,8934.16,8376.91,8937.28,8660.78,7718.14,9386.29,
Q80TB8,Vat1l,Synaptic vesicle membrane protein VAT-1 homolog-like,31,9535.51,9528.63,9380.68,9384.27,10637.2,11226.3,9778.55,9570.74,9885.45,9955.41,9753.47,9193.45,9829.72,9658.56,5218.3,10578.5,
P11881,Itpr1,"Inositol 1,4,5-trisphosphate receptor type 1",31,6266.97,9483.91,9723.08,7191.9,7363.59,7085.43,10623.5,8311.93,7317.18,9690.5,8370.23,10916.5,7218.84,9117.43,3055.02,8955.74,
Q04690,Nf1,Neurofibromin,31,9089.73,9004.58,8932.51,8999.32,9032.91,9291.93,8911.54,8612.33,8813.13,9016.43,9527.29,9253.85,8985.13,8820.67,5624.01,9625.81,
P61164,Actr1a,Alpha-centractin,31,12653,12726.4,12642.9,12414,12978.5,12374.3,13061.7,11817.7,11895.1,12127.4,12321.9,11565,12389.7,12153.4,9794.33,12620.3,
Q8VDD5,Myh9,Myosin-9,31,9411.95,10438.1,10789.9,10599.3,10028.1,9704.61,11328.4,13752.5,12693.3,16018.3,11952.5,12590.4,10597.4,12797.6,22132.9,11266.7,
Q02357-6,Ank1,Isoform 6 of Ankyrin-1,31,10395,7932.84,8347.73,9788.26,9327.12,9943.42,7965.08,9795.47,10491.3,10699.3,10799.5,12221.5,10284.5,9726.23,22678.1,10855.4,
Q921I1,Tf,Serotransferrin,31,9253.85,9249.46,10250,10747.6,9179.68,8497.57,8426.94,11772.4,12973.5,14449.9,12315.7,15736.3,12528.5,11752.6,16033.2,12019.9,
O08788,Dctn1,Dynactin subunit 1,31,7067.37,7130.29,6793.36,6779.02,7074.65,6822.45,7206.51,6539.83,6510.62,6562.3,6936.5,6178.42,6945.7,6816.27,5364.99,7036.08,
P48318,Gad1,Glutamate decarboxylase 1,31,6977.13,9499.22,10662.5,8179.7,8593.66,8432.99,11612.7,9481.61,8782.25,10766.3,9973.7,13259.5,9054.17,10208,7110.6,11444.7,
P42932,Cct8,T-complex protein 1 subunit theta,31,9897.95,9389.43,9025.49,9336.7,10001.6,9596.12,9066.85,9021.32,8627.23,8668.67,9174.29,8562.96,9155.68,9011.86,6969.72,9212.82,
P61264,Stx1b,Syntaxin-1B,31,6027.96,6929.65,6736.16,6009.36,6831.32,6539.14,7370.9,6412.29,6583.45,6585.52,6880.75,7392.79,6519.91,6481.9,3568,7440.48,
P61922,Abat,"4-aminobutyrate aminotransferase, mitochondrial",31,6721.42,7253.06,7534.93,6654.36,7270.4,7184.21,8116.38,7351.22,6870.98,6852.67,6767.97,7410.24,6826.2,7001.61,6151.03,7376.77,
G3UYZ1,Igsf8,Immunoglobulin superfamily member 8,31,7022.52,7308.17,6891.87,6722.53,7440.5,7002.54,6997.03,6362.98,6167.99,6712.07,6969.86,6554.61,6684.86,6581.66,3921.92,6656.58,
O55143,Atp2a2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,31,9544.49,11252.8,11542.5,9957.35,10306.9,10039,12373.1,11046.7,9980.69,11273.8,10380,12356.9,9802.76,10971.9,7810.34,11029.1,
P26443,Glud1,"Glutamate dehydrogenase 1, mitochondrial",31,6564.19,6879.08,6589.13,6270.48,7185.02,6754.95,7200.15,7089.48,4270.24,5940.94,6058.68,6120.76,6353.57,6406.75,7231.87,6456.92,
P20029,Hspa5,Endoplasmic reticulum chaperone BiP,31,7779.68,6850.02,7089.13,7418.51,7043.02,6896.56,6778.99,6698.8,7327.92,6295.86,6738.07,6463.12,7493.74,7090.95,8251.17,6849.74,
Q8CGP2-2,Hist1h2bp,Isoform 2 of Histone H2B type 1-P,31,8700.47,8546.33,7919.89,8301.05,8898.04,8412.34,8736.42,9050.43,8997.93,8965.96,8025.92,8310.91,8672.58,9078.77,13614.9,7296.71,
Q64332,Syn2,Synapsin-2,31,4422.89,5419.44,5907.75,5059.23,5439.86,5189.48,6033.95,5396.51,5225.91,5542.99,5753.58,5995.62,5872.91,5702.8,3405.83,6259.75,
P15532,Nme1,Nucleoside diphosphate kinase A,31,10800.6,10326.2,9932.34,10257.4,10507.5,10089.3,9790.77,9872.16,10246.7,9527.08,9450.94,9715.63,10606.4,10119.9,6835.62,9510.54,
P0DP28,Calm3,Calmodulin-3,31,3738.87,4395.33,4756.69,4224.74,3496.8,3324.73,4547.7,4357.71,4083.24,4106.74,3480.36,4462.78,3927.96,4306.29,3163.53,3519.97,
O08553,Dpysl2,Dihydropyrimidinase-related protein 2,30,10515.6,9664.53,9116.46,9554.87,9696.54,9424.69,9467.79,8761.17,8888.16,9188.11,9185.54,8568.84,9977.36,9518.22,5689.99,8713.4,
Q9WUA3,Pfkp,"ATP-dependent 6-phosphofructokinase, platelet type",30,9281.17,10228.2,9725.08,8987.02,9528.44,9209,9726.27,9304.97,9533.71,9479.65,9760.94,10106.1,10193.4,9636.35,6218,10089.3,
Q8BPN8,Dmxl2,DmX-like protein 2,30,7035.08,7870.7,8203.77,7318.09,8014.29,8051.52,8710.84,8032.46,7016.15,8368.58,8363,9872.52,7443.74,8042.38,5420.07,9371.94,
Q68FD5,Cltc,Clathrin heavy chain 1,30,11088.3,10801.2,10220.9,10178.6,11289,11114.8,10137.7,10780,9749.52,10163.8,10208.9,10243.1,10652.1,10380.5,9463.11,10669,
P16330,Cnp,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",30,10616.4,10317.1,8433.13,9293.63,9733.41,8589.09,9124.71,7840.76,8315.9,8177.4,9398.27,6049.91,10067.3,9190.22,3228.46,7354.96,
P03995,Gfap,Glial fibrillary acidic protein,30,3285.9,5648.25,6157.86,5325.18,5133.05,4735.34,7583.71,6267.44,4395.61,5211.43,4180.83,5139.29,4605.29,5240,4273.37,4504.83,
P46660,Ina,Alpha-internexin,30,6801.36,5720.37,4897.67,6304.19,5589.13,4958.01,5140.17,5186.85,5398.08,4963.53,5117.18,4769.36,5930.58,5593.36,2537.15,4252.38,
O08539,Bin1,Myc box-dependent-interacting protein 1,30,12070,11252.9,9529.62,11135.1,10632.7,9863.42,8710.92,9290.39,9051.04,8523.12,9174.57,8192.14,11070.3,9779.42,7164.78,8278.35,
P19096,Fasn,Fatty acid synthase,30,8878.69,8274.92,7708.15,8259,8926.73,8689.9,7860.93,7885.01,6436.72,7116.6,8052.58,6544.08,8086.91,7883.58,5962.93,7469.46,
A6ZI44,Aldoa,Fructose-bisphosphate aldolase,30,6973.98,7149.78,6885.9,6834.63,6816.24,6473.83,6642.67,6394.43,7238.26,6325.15,6737.51,6194.97,7722.07,6647.74,4808.12,6537.14,
P05063,Aldoc,Fructose-bisphosphate aldolase C,30,7907.54,7940.42,7988.24,7513.32,8053.21,7351.14,8526.77,7780.14,8056.56,8106.28,7901.64,7843.97,9361.68,8639.76,7892.83,8460.52,
Q9Z0R4,Itsn1,Intersectin-1,30,9044.96,8377.75,8123.19,8614.42,9028.05,9073.31,8104.56,8317.92,8227.65,7987.9,8501.87,7905.48,8328.04,8405.07,8387.22,8620.01,
Q8BWF0,Aldh5a1,"Succinate-semialdehyde dehydrogenase, mitochondrial",30,9651.08,9770.32,9541.07,9251.84,9914.12,10196.2,10124.9,9080.19,9130.57,8262.04,8633.27,8459.71,9190.38,8712.55,9590.26,9221.33,
Q62261,Sptbn1,"Spectrin beta chain, non-erythrocytic 1",30,5233.62,5865.18,5566.75,5164.53,5628.53,5328.29,5773.61,5133.05,5234.95,5493.07,5434.81,5253.93,5479.21,5821.81,3485.48,5534.21,
P07901,Hsp90aa1,Heat shock protein HSP 90-alpha,30,8204.7,7178.23,7366.58,7211.42,7932.25,7595.59,7801.46,7056.08,6577.23,6681.08,7005.79,6794.55,6860.69,6874.76,5996.41,7086.62,
P50516,Atp6v1a,V-type proton ATPase catalytic subunit A,30,7361.81,7605.62,7721.37,7451.07,7831.32,7721.28,8080.48,7546.2,7276.53,7422.68,7459.98,7283.81,7668.45,7540.62,6026.86,7775.67,
Q61699,Hsph1,Heat shock protein 105 kDa,30,9545.9,8753.88,8605.98,8563.52,8669.78,8360.54,8669.34,7467.07,7109.81,7552.12,8060.73,7378.24,7762.39,7918.9,5235.77,8066.91,
